Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
1067629,141 Bradford Natural Market  ,Convenience Store,141,Bradford St, ,Provincetown,MA,2657,1436,BARNSTABLE,42.0536,-70.18581,10/30/2012,9/23/2019
1039673,7 Eleven 34408B,Convenience Store,2946,Falmouth Rd, ,Osterville,MA,2655,1233,BARNSTABLE,41.65342,-70.39185,2/14/2012,9/29/2020
1213017,7 Eleven 25594M,Convenience Store,1149,Falmouth Rd, ,Centerville,MA,2632,3021,BARNSTABLE,41.65873,-70.32912,8/28/2015,11/29/2017
1345534,7 Eleven 25933L,Convenience Store,444,Main St, ,West Yarmouth,MA,2673,4840,BARNSTABLE,41.65055,-70.24097,11/6/2018,4/7/2020
1347972,7 Eleven 37458,Convenience Store,59,Locust St,,Falmouth,MA,2540,2658,BARNSTABLE,41.55393,-70.62402,1/29/2019,11/30/2025
1066784,7 Eleven (30214K) 30214K,Convenience Store,1011,Route 28, ,South Yarmouth,MA,2664,4115,BARNSTABLE,41.65783,-70.20391,8/30/2012,3/12/2014
1048595,7 Eleven (34409H) 34409H,Convenience Store,4,Alphonse St, ,Teaticket,MA,2536,6523,BARNSTABLE,41.56769,-70.59428,6/13/2012,5/5/2015
651104,7-Eleven 37410H,Convenience Store,1638,Falmouth Rd, ,Centerville,MA,2632,2948,BARNSTABLE,41.65711,-70.34691,1/1/1930,2/18/2019
459473,7-Eleven 37415H,Convenience Store,279,Old Main Rd, ,North Falmouth,MA,2556,2017,BARNSTABLE,41.64923,-70.61691,4/29/1982,12/17/2017
384059,7-Eleven 37426H,Convenience Store,964,Main St,,West Dennis,MA,2670,2854,BARNSTABLE,41.66793,-70.14751,8/14/1990, 
297905,7-Eleven 37381H,Convenience Store,2360,State Hwy, ,Eastham,MA,2642, ,BARNSTABLE,41.82824,-69.97316,7/12/1991, 
435845,7-ELEVEN 25933D,Convenience Store,444,Route 28, ,West Yarmouth,MA,2673,4840,BARNSTABLE,41.65055,-70.24097,12/12/1992,11/5/2018
313457,7-Eleven 37385H,Convenience Store,137,Bradford St, ,Provincetown,MA,2657,1445,BARNSTABLE,42.05335,-70.18605,12/6/1995,9/3/2018
781544,7-ELEVEN 25161B,Convenience Store,210,North St, ,Hyannis,MA,2601,3824,BARNSTABLE,41.65182,-70.29012,3/8/2006,10/6/2010
779686,7-ELEVEN 24450F,Convenience Store,743,Main St, ,Falmouth,MA,2540,3215,BARNSTABLE,41.55341,-70.60293,3/8/2006,12/8/2015
781245,7-ELEVEN 30214F,Convenience Store,1011,Route 28, ,South Yarmouth,MA,2664,4115,BARNSTABLE,41.65783,-70.20391,3/8/2006,8/28/2012
976449,7-ELeven 25161P,Convenience Store,210,North St, ,Hyannis,MA,2601,3824,BARNSTABLE,41.65182,-70.29012,10/21/2010,4/4/2011
978071,7-Eleven 34380A,Convenience Store,426,Main St, ,Hyannis,MA,2601,3916,BARNSTABLE,41.65243,-70.28483,11/2/2010,12/21/2014
978068,7-Eleven 34409A,Convenience Store,4,Alphonse St, ,Teaticket,MA,2536,6523,BARNSTABLE,41.56769,-70.59428,11/2/2010,6/11/2012
979379,7-Eleven 34434A,Convenience Store,5,Route 28, ,West Harwich,MA,2671,1041,BARNSTABLE,41.66886,-70.12168,11/10/2010,4/11/2016
979384,7-Eleven 34408A,Convenience Store,2946,Falmouth Rd, ,Osterville,MA,2655,1233,BARNSTABLE,41.65342,-70.39185,11/10/2010,3/12/2014
997603,7-Eleven 25161C,Convenience Store,210,North St, ,Hyannis,MA,2601,3824,BARNSTABLE,41.65182,-70.29012,4/5/2011,12/26/2022
1053415,7-Eleven 37417H,Convenience Store,1590,Main St, ,East Dennis,MA,2641,9800,BARNSTABLE,41.74288,-70.16066,5/1/2012,10/26/2025
1053419,7-Eleven 37407H,Convenience Store,178,RT 6A, ,Orleans,MA,2653,3257,BARNSTABLE,41.78236,-69.99686,5/1/2012,3/14/2022
1163163,7-Eleven 37425H,Convenience Store,696,Yarmouth Road, ,"Hyannis, Barnstable",MA,2601, ,BARNSTABLE,41.67125,-70.26768,8/19/2014,8/12/2018
1181590,7-Eleven 34380H,Convenience Store,426,Main St, ,Hyannis,MA,2601,3916,BARNSTABLE,41.65242,-70.28478,12/22/2014,11/29/2017
1230284,7-Eleven 24450F,Convenience Store,743,Main St, ,Falmouth,MA,2540,3215,BARNSTABLE,41.55339,-70.60298,1/12/2016,1/31/2023
1244714,7-eleven 34434a,Convenience Store,5,Main St, ,West Harwich,MA,2671,1041,BARNSTABLE,41.66886,-70.12168,5/17/2016,2/17/2020
1424460,7-Eleven 34408C,Convenience Store,2946,Falmouth Rd,,Osterville,MA,2655,1233,BARNSTABLE,41.65345,-70.39196,9/30/2020, 
1525699,7-Eleven 25161Q,Convenience Store,210,North St, ,Hyannis,MA,2601,3824,BARNSTABLE,41.65215,-70.29012,11/10/2022,4/27/2023
1641585,7-Eleven 37489H,Convenience Store,174,Clay Pond Rd, ,Bourne,MA,2532, ,BARNSTABLE,41.71698,-70.58492,3/7/2025, 
